customer_id,monthly_income,monthly_expenses,average_monthly_inflow,average_monthly_outflow,transaction_count,average_transaction,savings_balance,failed_payments,late_payments,account_age_months,spending_volatility,weekend_spending_ratio,night_transaction_ratio,new_device,failed_logins,location_change,high_credit_risk,fraud_label
C00040,62873.63,27321.8,62805.95,22206.51,77,226.54,200170.83,0,1,15,0.63,0.2047,0.0837,0,1,0,0,0
C00041,57459.59,23584.62,60375.26,18941.98,63,321.14,118312.34,1,2,60,0.1202,0.1315,0.07,0,0,1,0,0
C00042,33354.18,22843.57,31398.91,24882.83,79,402.37,92204.69,1,3,49,0.1523,0.1159,0.1389,0,0,0,0,0
C00043,49955.62,28030.57,49530.26,32953.92,79,320.86,150278.55,2,1,31,0.5283,0.2547,0.1819,0,0,0,0,0
C00044,47426.02,17587.65,45562.45,17964.23,80,252.98,16969.4,3,0,58,0.3331,0.2676,0.2441,0,0,0,0,0
C00045,49653.67,39361.85,47862.43,51462.66,73,569.86,27814.5,0,1,31,0.2679,0.4089,0.049,1,1,0,0,0
C00046,66606.72,43433.34,61880.14,38082.01,74,558.76,219405.75,1,0,5,0.0901,0.2875,0.0203,0,0,0,0,0
C00047,49763.44,36321.44,49368.72,35173.76,63,445.8,109907.26,1,4,25,0.5044,0.1037,0.1059,0,0,0,1,0
C00048,61079.34,33421.69,57575.59,35654.63,66,665.95,157219.97,0,1,46,0.2063,0.3208,0.0237,0,1,0,0,0
C00049,46389.5,36181.37,51974.33,40006.64,72,396.84,69689.34,0,1,32,0.5921,0.2011,0.0679,0,1,0,1,0
C00050,51252.59,22540.19,55050.21,22087.84,84,218.42,51166.15,1,0,59,0.0776,0.222,0.0842,1,1,0,0,0
C00051,59784.25,25905.19,71344.48,23907.59,76,343.81,31662.0,1,2,55,0.1837,0.3735,0.1072,0,0,0,0,0
C00052,23358.07,17533.75,29814.34,19715.5,75,290.36,21174.84,0,0,27,0.407,0.4365,0.0449,0,3,0,0,0
C00053,38970.71,29277.63,44086.75,31209.63,68,447.31,20999.79,0,0,53,0.3664,0.2961,0.065,0,0,0,0,0
C00054,36415.51,20922.85,40200.92,21103.74,74,241.58,118754.51,1,0,56,0.4573,0.1724,0.2011,0,0,0,0,0
C00055,33756.31,13725.45,38443.06,15233.29,71,230.25,103806.72,0,0,26,0.3654,0.3142,0.2298,0,1,0,0,0
C00056,39759.49,19376.68,43973.62,20028.48,74,350.49,106972.54,0,0,60,0.3304,0.3362,0.1607,0,1,0,0,0
C00057,88180.52,60788.88,93120.74,62808.95,70,972.45,24067.91,1,0,31,0.2698,0.317,0.0482,0,0,0,0,0
C00058,30479.02,22270.91,31895.71,22912.55,65,284.44,58552.33,0,0,23,0.161,0.4415,0.1264,0,1,0,0,0
C00059,69573.78,35235.27,64522.69,33525.41,60,698.33,68952.82,0,2,26,0.5046,0.1607,0.1581,0,0,0,1,0
C00060,21102.07,7967.19,24281.53,7483.35,68,124.19,9472.28,0,1,12,0.4449,0.1059,0.2484,1,0,0,0,0
C00061,38704.82,25141.76,40494.71,24812.8,84,313.05,10414.33,0,0,33,0.2632,0.1177,0.222,0,1,0,0,0
C00062,48419.44,33059.52,59262.6,34839.72,75,374.52,124212.24,0,2,12,0.0848,0.1721,0.2412,1,1,0,0,0
C00063,58584.05,31682.64,67946.74,26152.35,75,306.22,84987.57,2,1,35,0.4102,0.239,0.2031,0,0,1,0,0
C00064,61973.97,37952.48,60417.54,44152.76,84,518.55,132806.45,1,1,55,0.4376,0.1566,0.0926,0,0,0,0,0
C00065,64307.02,51080.17,77142.89,53747.21,69,823.67,177209.09,1,0,10,0.6417,0.2479,0.0362,0,0,0,0,0
C00066,38464.52,17703.27,28568.02,16325.77,62,239.88,64596.16,1,1,39,0.0892,0.146,0.1427,0,1,0,0,0
C00067,36547.19,22214.84,46839.86,27635.07,80,376.13,22894.15,0,2,60,0.0816,0.3631,0.16,0,1,0,0,0
C00068,66204.71,41373.46,58881.58,43649.62,68,512.78,219340.23,1,1,49,0.4887,0.1067,0.1998,0,0,0,0,0
C00069,41288.15,24653.08,45805.63,21935.87,63,415.1,96386.75,1,0,51,0.6482,0.1883,0.0896,0,2,1,0,0
C00070,25345.56,18783.81,27912.81,23265.74,74,252.4,21714.46,3,0,42,0.5661,0.3504,0.207,0,0,0,0,0
C00071,27022.86,16815.07,32017.93,20389.68,63,412.21,66290.05,1,3,24,0.5281,0.2661,0.2093,0,0,1,1,0
C00072,29752.38,17213.25,30066.45,16196.75,71,258.87,48006.35,0,1,27,0.5935,0.2952,0.2041,1,0,0,0,0
C00073,56282.57,22814.52,44606.06,23071.01,63,425.55,158446.36,2,2,20,0.3013,0.4066,0.0474,0,2,0,0,0
C00074,47978.55,31975.02,48493.14,31818.01,71,401.99,123596.73,3,0,31,0.1276,0.4451,0.1947,0,1,0,0,0
C00075,61398.22,25139.4,62853.39,20696.36,73,251.44,65186.99,0,0,16,0.188,0.2736,0.2361,0,0,0,0,0
C00076,37129.02,13439.09,29855.33,14634.66,69,252.1,98164.13,0,0,4,0.3911,0.2521,0.2459,0,0,0,0,0
C00077,48327.72,27539.02,51007.23,31708.91,71,536.17,97453.31,2,0,17,0.0828,0.3652,0.0816,0,1,0,0,0
C00078,59631.15,36231.91,54914.2,40899.55,74,581.05,144320.76,1,1,28,0.4169,0.1038,0.1274,0,0,0,0,0
C00079,39152.2,31305.09,44159.38,32993.39,53,579.45,58895.56,0,0,20,0.4707,0.4313,0.0548,0,0,0,0,0
C00080,55268.95,37060.43,56400.33,43103.48,70,637.68,29938.69,0,0,50,0.238,0.1603,0.0825,0,2,0,0,0
C00081,33408.01,24450.18,42940.37,22341.56,77,325.66,10645.59,1,1,48,0.4444,0.4151,0.2039,1,1,0,0,0
C00082,38217.3,19333.16,38953.31,24518.2,87,330.61,107506.93,3,1,19,0.5765,0.4276,0.1776,1,0,0,1,0
C00083,37897.32,21942.99,41749.47,21007.12,64,318.52,42726.24,0,0,21,0.3515,0.1333,0.053,0,0,0,0,0
C00084,26272.81,20714.04,26914.69,20106.68,66,358.38,56339.72,2,4,37,0.3347,0.332,0.2365,0,0,0,1,0
C00085,56025.12,30131.7,47913.12,29558.42,78,411.36,166694.65,1,0,8,0.5446,0.1439,0.1703,1,2,0,0,0
C00086,36431.41,25985.82,37358.03,25264.0,80,380.92,121524.26,1,0,51,0.2876,0.1609,0.1532,0,1,0,0,0
C00087,45253.72,26550.14,51607.78,27263.62,73,441.16,153893.1,3,0,43,0.527,0.1335,0.0614,0,0,0,0,0
C00088,55868.38,25184.5,62697.66,25744.27,79,308.69,159697.99,0,1,11,0.5589,0.369,0.0687,0,0,0,0,0
C00089,55014.76,33624.38,55829.41,35828.69,76,547.52,105772.01,2,1,53,0.1745,0.2285,0.0212,0,2,0,0,0
C00090,60708.63,27205.23,53131.54,25892.75,66,417.01,65478.61,0,0,5,0.5013,0.3213,0.1662,0,0,0,0,0
C00091,43049.22,15125.86,48530.89,16184.56,75,236.94,11083.73,1,3,19,0.1698,0.4442,0.2442,0,0,0,0,0
C00092,37195.15,16966.68,40927.25,15594.91,84,155.31,35134.95,2,0,36,0.5012,0.2509,0.0998,1,1,1,0,1
C00093,43414.32,18968.35,49978.97,21584.03,78,322.15,42563.88,3,2,47,0.2537,0.3004,0.1248,0,1,0,0,0
C00094,21059.72,10886.07,21419.97,12371.02,62,153.51,40780.45,0,2,20,0.3353,0.424,0.0488,1,2,1,0,1
C00095,23463.87,17594.82,19894.43,18462.34,66,228.5,53274.69,1,1,21,0.144,0.2256,0.0374,0,1,0,0,0
C00096,24814.98,13016.3,27645.16,12652.32,70,164.54,85225.92,0,2,28,0.4505,0.1522,0.0978,1,1,0,0,0
C00097,28728.84,20981.66,30133.76,22814.11,67,393.88,42785.55,2,0,28,0.6117,0.2545,0.0264,0,2,0,0,0
C00098,53869.31,32322.98,65559.06,30496.16,55,526.33,177604.24,0,2,39,0.3831,0.2623,0.0347,0,1,0,0,0
C00099,29940.05,10581.61,31540.28,11154.55,82,145.68,85745.28,1,1,25,0.4313,0.3421,0.2071,0,2,0,0,0
C00100,37958.34,16509.28,39649.16,17033.98,76,280.28,96149.12,0,1,3,0.4363,0.1943,0.0595,0,0,0,0,0
C00101,80746.55,62100.16,88826.9,84803.3,79,1210.19,62773.8,0,0,18,0.3257,0.2442,0.1925,0,1,0,0,0
C00102,38334.25,23839.23,37505.01,21520.95,78,330.83,85840.21,1,0,40,0.4815,0.3464,0.1656,0,0,0,0,0
C00103,62711.48,48180.98,60992.16,35168.4,73,375.77,135234.46,1,2,6,0.5316,0.3703,0.0559,1,1,0,1,0
C00104,29563.32,14472.84,30694.2,14089.17,72,144.11,83026.98,1,1,58,0.2396,0.3752,0.2204,0,0,0,0,0
C00105,41026.39,27588.32,38546.4,23288.3,59,333.61,86622.29,0,0,48,0.6137,0.3093,0.1263,0,0,1,0,0
C00106,29345.89,20466.16,30006.43,19704.75,66,369.71,99172.91,1,1,19,0.3724,0.2418,0.1202,1,3,0,0,0
C00107,38632.64,30483.66,49555.92,27261.16,73,424.96,33104.01,1,1,47,0.471,0.2342,0.0455,0,0,0,0,0
C00108,65680.44,23525.38,77182.14,22148.2,69,298.05,49007.86,1,1,20,0.5325,0.2871,0.0938,0,0,0,0,0
C00109,20684.16,16102.76,22482.95,14850.14,72,257.07,53731.33,2,2,15,0.0671,0.2268,0.1978,0,2,0,0,0
C00110,54715.83,28792.33,67639.78,33559.01,74,495.78,190738.1,0,3,17,0.6042,0.2851,0.2227,0,1,0,1,0
C00111,50081.09,36413.79,47627.74,38022.42,59,760.48,49342.36,2,0,42,0.5428,0.4165,0.1142,1,1,0,0,0
C00112,34442.63,20497.53,46458.04,24167.7,70,259.88,13008.02,2,1,39,0.1039,0.3697,0.2145,1,1,0,0,0
C00113,23475.01,14181.07,23351.52,14959.01,68,263.77,55616.39,1,0,11,0.0903,0.1412,0.2067,0,0,0,0,0
C00114,46484.59,23787.09,59986.35,27627.06,79,347.55,123929.92,2,0,19,0.1014,0.2278,0.0586,0,0,0,0,0
C00115,35459.48,25630.56,45740.2,25982.79,59,330.66,66818.52,2,1,4,0.5865,0.106,0.0731,0,2,0,1,0
C00116,49967.2,23424.93,41953.08,29078.45,62,339.25,47568.37,1,0,57,0.4215,0.312,0.1899,0,0,0,0,0
C00117,45444.69,25972.03,55717.51,28738.47,97,308.08,83509.25,2,0,28,0.0833,0.2484,0.0231,1,0,1,0,1
C00118,92523.53,55706.43,93997.51,53278.83,68,824.4,112443.47,1,1,43,0.6094,0.4264,0.1451,1,1,0,0,0
C00119,40404.96,27642.42,39671.36,31078.32,70,359.04,37104.13,0,0,40,0.4542,0.1017,0.0893,0,0,0,0,0
C00120,28391.47,15962.7,31598.47,16812.74,74,200.87,52633.34,0,0,32,0.2436,0.1931,0.0713,0,1,0,0,0
C00121,48780.79,32006.41,45319.8,32828.94,70,439.26,17439.16,2,0,19,0.466,0.1718,0.1292,0,0,0,0,0
C00122,49682.91,28238.89,55159.94,29976.22,68,311.43,127465.1,5,0,51,0.6177,0.1766,0.2159,0,1,0,0,0
C00123,82954.88,53646.45,77737.41,61165.0,78,1005.43,226176.54,3,0,48,0.107,0.4493,0.1382,1,0,0,0,0
C00124,65527.02,42813.03,70195.79,34074.83,79,516.63,226157.72,0,0,47,0.5566,0.2586,0.2398,0,3,0,0,0
C00125,52839.26,35362.61,63948.37,35641.52,78,388.48,163793.03,0,0,27,0.391,0.2576,0.2329,0,1,0,0,0
C00126,86933.96,62634.61,95312.85,70897.4,67,1276.85,101926.73,0,0,19,0.2585,0.3502,0.0678,1,1,0,0,0
C00127,26356.61,15638.04,26536.49,16885.76,71,253.43,31729.8,0,0,44,0.4283,0.1483,0.1236,0,1,0,0,0
C00128,33743.04,14744.87,37622.46,13489.11,67,162.54,56171.21,1,0,31,0.4839,0.2384,0.1143,0,0,0,0,0
C00129,29657.15,19450.3,26134.55,14896.37,71,246.28,76809.79,1,2,52,0.5823,0.2668,0.0443,0,0,0,1,0
C00130,37759.91,14526.36,35846.87,18217.67,93,148.44,12657.77,1,2,3,0.331,0.282,0.0629,0,1,0,0,0
C00131,24219.39,10863.12,24179.86,11162.4,83,128.34,81710.07,3,0,18,0.515,0.2457,0.1432,0,0,0,0,0
C00132,59888.26,42309.31,68537.44,52111.78,87,690.42,150844.06,1,0,27,0.4561,0.1319,0.175,0,0,0,0,0
C00133,40717.68,22222.96,44736.34,25454.07,81,389.19,122443.36,1,0,20,0.0935,0.183,0.1502,0,0,0,0,0
C00134,23215.02,13328.21,25866.64,12725.32,59,188.14,57509.56,0,0,10,0.4636,0.4425,0.116,0,1,0,0,0
C00135,28492.81,22632.66,29823.83,16970.6,77,234.06,92281.22,1,0,45,0.4265,0.3543,0.2068,0,0,0,0,0
C00136,51818.32,23620.22,49508.67,23491.3,66,428.98,150077.17,1,2,55,0.2618,0.1178,0.2148,0,1,0,0,0
C00137,65615.99,23542.94,80614.1,24614.87,79,379.93,107522.31,0,0,26,0.0624,0.1279,0.1748,1,0,1,0,1
C00138,110519.44,44220.78,106791.04,48823.24,74,463.17,280639.78,2,0,34,0.242,0.1219,0.0679,0,1,0,0,0
C00139,166984.43,76817.15,183730.41,70417.87,66,807.47,552550.17,2,0,48,0.5281,0.1613,0.0987,0,0,0,0,0
C00140,54225.25,36692.28,56207.05,39310.67,67,477.29,179949.66,0,0,39,0.5305,0.1855,0.183,0,1,0,0,0
C00141,28828.67,20154.7,32217.74,21592.07,67,228.05,91407.22,1,2,26,0.3134,0.4015,0.0538,0,0,0,0,0
C00142,17240.16,10421.16,16849.53,12175.19,74,203.42,46123.28,1,1,50,0.5841,0.3745,0.0273,1,0,0,1,0
C00143,50761.22,23592.34,59711.5,23903.36,78,226.73,116473.08,0,1,4,0.5267,0.3079,0.1827,0,1,0,0,0
C00144,31213.13,18252.94,37936.24,20135.38,70,359.31,62878.52,0,0,18,0.4206,0.1044,0.2275,0,0,0,0,0
C00145,37328.3,13316.16,43635.24,14442.87,76,167.91,30883.92,0,0,16,0.5499,0.4349,0.0533,0,1,1,0,0
C00146,34165.59,22440.31,36520.11,25920.14,77,250.67,58544.76,0,2,41,0.4329,0.3382,0.0381,0,0,0,0,0
C00147,42237.42,26458.95,42143.86,25178.62,73,319.65,27228.36,0,1,4,0.3862,0.2873,0.1447,0,0,0,0,0
C00148,72700.89,26158.39,100956.34,18310.88,67,310.71,51386.91,2,1,12,0.2918,0.3308,0.2349,1,0,0,0,0
C00149,48295.3,34659.38,44963.17,35407.2,64,432.02,34797.21,0,1,25,0.2178,0.4225,0.2163,0,0,0,0,0
C00150,41899.62,29059.15,48425.39,29706.7,80,472.5,73749.6,2,1,40,0.1254,0.1008,0.0295,0,0,0,0,0
C00151,28236.58,13799.24,30776.01,12572.45,78,129.93,13752.85,0,0,56,0.4017,0.1558,0.0432,0,0,0,0,0
C00152,21179.95,13468.75,22080.01,11704.78,66,219.76,64285.17,1,1,24,0.3054,0.2023,0.1598,0,0,0,0,0
C00153,36155.31,22440.58,38766.43,22015.02,64,243.75,115389.37,1,0,29,0.26,0.4337,0.1079,0,1,0,0,0
C00154,43923.98,18203.46,43430.89,18862.7,72,299.1,106762.73,1,0,55,0.2064,0.3771,0.0491,0,1,1,0,0
C00155,99706.51,43568.42,109801.46,46245.76,59,777.34,190453.5,1,1,33,0.4561,0.1139,0.108,0,0,0,0,0
C00156,47716.92,31371.14,51916.91,24336.58,73,386.9,159731.81,1,2,27,0.6114,0.3772,0.0514,0,1,0,1,0
C00157,70028.01,53928.45,96030.69,45276.99,70,707.74,88365.33,1,1,60,0.2254,0.1698,0.0451,0,0,0,0,0
C00158,35944.62,21902.06,42360.69,25965.92,62,342.26,78842.13,0,1,31,0.1699,0.1043,0.2015,0,2,0,0,0
C00159,26401.95,15986.8,29356.48,16422.39,64,187.22,74820.38,2,2,7,0.3233,0.27,0.0975,1,0,0,1,0
C00160,29147.23,18683.57,32617.71,19612.3,71,260.38,76652.49,0,0,53,0.2931,0.1001,0.0486,0,0,0,0,0
C00161,32469.81,17801.91,41260.83,15843.86,76,218.4,96918.96,2,4,25,0.5004,0.2318,0.1534,0,0,0,1,0
C00162,117269.4,43903.02,109476.71,46074.97,63,884.88,113629.24,2,1,52,0.08,0.2707,0.1903,0,0,0,0,0
C00163,31094.73,16431.29,31967.63,16512.12,66,210.59,88488.37,0,0,6,0.3698,0.4422,0.0742,0,1,1,0,0
C00164,65626.7,49555.61,53888.93,48355.18,64,665.46,20797.9,1,1,29,0.6066,0.1358,0.1487,0,0,0,1,0
C00165,29974.45,21348.58,33483.04,18671.04,66,255.73,60536.82,1,2,9,0.6395,0.1959,0.0202,0,2,0,1,0
C00166,68434.04,52512.22,78821.02,49665.09,75,751.28,15865.47,1,0,41,0.2763,0.1954,0.1099,0,2,0,0,0
C00167,53511.17,22409.1,49793.64,28832.49,80,279.48,72385.15,1,2,24,0.0505,0.4146,0.2179,0,0,0,0,0
C00168,41937.29,24226.38,51256.16,24421.73,60,412.33,88561.55,0,1,49,0.4873,0.2966,0.2097,0,0,0,0,0
C00169,44182.08,27089.26,42579.79,31010.55,66,495.35,112412.01,1,0,45,0.1969,0.201,0.1684,1,1,0,0,0
C00170,33515.5,14896.52,33813.92,15290.27,73,212.18,61789.94,1,1,43,0.429,0.444,0.2372,0,2,0,0,0
C00171,55003.4,24225.51,58542.75,24529.45,56,449.68,183098.49,0,0,7,0.3336,0.1697,0.1336,0,0,0,0,0
C00172,36668.57,25738.21,45516.82,25060.77,73,329.7,69214.73,0,0,16,0.4208,0.361,0.1078,0,1,0,0,0
C00173,25923.24,16910.59,24549.73,20486.78,59,448.51,11318.45,2,1,4,0.2594,0.2892,0.0966,0,1,0,0,0
C00174,25319.9,16235.99,27470.81,17774.65,71,242.93,20235.95,0,0,39,0.0968,0.1214,0.154,0,0,0,0,0
C00175,48634.2,22865.1,55587.95,21841.81,59,445.03,145396.72,0,0,36,0.6227,0.2211,0.0236,0,1,0,0,0
C00176,91583.72,52939.63,102410.42,53082.92,49,1118.63,303979.65,0,0,11,0.5741,0.2718,0.1367,0,1,0,0,0
C00177,48359.31,17427.8,54290.49,20549.27,71,308.76,116444.23,0,2,34,0.4893,0.1101,0.0877,0,0,0,0,0
C00178,42660.58,17425.81,48691.93,12361.44,72,203.89,113287.21,0,0,57,0.1787,0.3078,0.08,0,1,0,0,0
C00179,51176.69,29846.91,50328.86,32451.36,59,708.99,114762.69,0,1,43,0.5938,0.358,0.1452,0,2,0,0,0
C00180,80993.04,39634.15,101446.51,44172.74,82,422.79,186888.25,1,0,23,0.1565,0.2976,0.0456,0,0,0,0,0
C00181,49669.18,38968.02,51490.15,37410.49,65,603.59,159847.45,0,1,4,0.274,0.2604,0.1028,0,0,0,0,0
C00182,37402.79,21026.65,38178.45,22468.06,65,279.78,61260.77,0,0,19,0.6049,0.4275,0.1568,0,1,0,0,0
C00183,74031.63,28694.95,89705.24,31859.34,75,309.54,177762.54,2,0,33,0.2611,0.3322,0.1751,0,2,0,0,0
C00184,54576.47,19539.96,53175.6,17630.17,66,330.96,132246.76,0,0,42,0.0714,0.393,0.0986,0,0,0,0,0
C00185,89815.06,60747.86,97757.71,69922.74,71,1276.51,135397.62,2,2,36,0.445,0.3866,0.1096,0,1,0,1,0
C00186,48867.77,20875.24,47072.36,22663.84,73,345.9,82131.03,0,2,29,0.5146,0.436,0.2182,0,1,0,0,0
C00187,25936.5,11269.82,35074.15,11626.43,82,133.76,32600.24,2,2,53,0.3134,0.2865,0.1617,0,0,0,0,0
C00188,24312.51,13146.09,32263.63,13968.93,58,277.87,81386.39,0,1,34,0.5029,0.1477,0.2139,1,0,0,0,0
C00189,94592.68,44347.63,98070.95,50328.48,72,903.37,60022.67,0,0,16,0.4526,0.4272,0.1169,0,2,0,0,0
C00190,97740.11,61327.98,108724.43,81439.51,87,1168.89,101371.22,0,0,35,0.2271,0.3072,0.0934,0,0,0,0,0
C00191,41507.7,23599.68,43608.98,26507.01,70,461.08,114134.38,0,1,37,0.1743,0.2499,0.191,0,0,0,0,0
C00192,37872.61,15154.83,38181.96,17386.68,72,243.55,50407.38,0,0,7,0.3624,0.2515,0.192,0,0,1,0,0
C00193,86861.29,61075.07,92451.31,65547.18,65,836.21,215993.37,1,1,37,0.2309,0.3625,0.2396,0,0,0,0,0
C00194,27343.86,14810.43,28577.83,18930.67,69,214.05,71058.87,1,1,11,0.4066,0.1112,0.1093,0,0,0,0,0
C00195,30085.26,18799.54,26099.56,16432.32,69,176.9,60904.12,1,1,7,0.6419,0.2602,0.1886,0,0,0,0,0
C00196,60109.0,21144.79,65011.66,17793.59,74,217.52,93054.57,2,2,6,0.1565,0.2679,0.1907,0,0,0,1,0
C00197,37678.52,23808.3,39371.22,25435.93,79,233.13,94718.31,0,2,51,0.3931,0.2062,0.0761,0,0,0,0,0
C00198,44896.4,21428.26,48823.22,24197.16,72,371.52,10498.69,1,1,25,0.1582,0.4295,0.081,0,1,0,0,0
C00199,41809.07,23934.3,43510.6,17736.42,61,347.5,106106.11,2,2,48,0.0537,0.2405,0.024,0,1,0,0,0
C00200,52382.42,25351.74,52736.49,26608.88,58,540.51,110082.35,2,1,57,0.64,0.1905,0.0661,0,2,0,0,0
C00201,84777.43,67679.29,97917.01,69597.4,62,842.97,252956.44,0,0,49,0.5106,0.2547,0.2477,0,0,0,0,0
C00202,46872.24,21274.33,52214.56,24237.82,60,331.26,123975.8,0,1,18,0.1692,0.2231,0.196,0,0,0,0,0
C00203,60125.55,45742.73,73204.41,50383.25,69,935.43,123514.58,0,1,3,0.1832,0.3147,0.0251,1,2,0,0,0
C00204,17887.19,13649.45,19843.47,11370.17,63,234.34,49672.59,0,1,33,0.0781,0.1033,0.1614,0,0,0,0,0
C00205,44024.19,23748.86,45181.46,21858.29,78,359.59,33482.39,2,0,6,0.3961,0.416,0.0538,0,0,0,0,0
C00206,30790.58,14988.9,34608.99,14287.2,72,248.83,46436.68,3,1,37,0.6152,0.4045,0.1326,0,0,0,0,0
C00207,26002.6,13559.47,21122.6,15439.81,59,206.01,50822.12,0,2,4,0.2204,0.2015,0.0999,0,1,0,0,0
C00208,30310.49,24102.98,39477.65,26391.74,96,322.69,83230.09,0,2,46,0.3132,0.2985,0.2417,0,1,0,0,0
